# started_utc=2025-11-04T11:32:27.651693Z
# rows=3
# cols=2
# threshold_init=30
# threshold_mode_init=global
t_iso,loop_idx,auto_mode,dn_state,profile,exposure_locked,exposure_ms,exposure_gain,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T11:32:45.377841Z,140,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:45.501118Z,141,1,0,Classroom,1,8.0,,global,30,30,22,6,9,46,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:45.625971Z,142,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,41,14,11,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:45.745144Z,143,1,0,Classroom,1,8.0,,global,30,30,22,7,9,46,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:45.865847Z,144,1,0,Classroom,1,8.0,,global,30,30,22,6,9,46,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:45.985992Z,145,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:46.107161Z,146,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:46.225459Z,147,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,41,14,11,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:46.346109Z,148,1,0,Classroom,1,8.0,,global,30,30,22,6,9,46,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:46.468663Z,149,1,0,Classroom,1,8.0,,global,30,30,21,7,9,46,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:46.589809Z,150,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:46.709026Z,151,1,0,Classroom,1,8.0,,global,30,30,21,7,9,45,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:46.829872Z,152,1,0,Classroom,1,8.0,,global,30,30,22,6,9,47,42,14,11,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:46.949765Z,153,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:47.070167Z,154,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:47.189113Z,155,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:47.311193Z,156,1,0,Classroom,1,8.0,,global,30,30,22,7,9,46,41,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:47.429254Z,157,1,0,Classroom,1,8.0,,global,30,30,21,7,9,45,42,14,12,0,0,0,0,255,255,0,0,0,0
2025-11-04T11:32:47.551167Z,158,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,41,14,11,0,0,0,0,255,255,0,0,0,0
